series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
B;GRU (32u, 12w, 100e, 64b);9,5954;3,6967;4,3214;3,6848;3,2897;4,0067;3,2831;False
B;GRU (32u, 12w, 150e, 64b);11,6262;3,6775;4,3411;3,6658;3,2999;4,0386;3,2931;False
B;GRU (32u, 18w, 30e, 16b);6,9496;3,7717;4,3697;3,7593;3,2920;4,0395;3,2857;False
B;GRU (32u, 18w, 50e, 16b);8,1497;3,7153;4,3383;3,7032;3,2878;4,0077;3,2813;False
B;GRU (32u, 18w, 100e, 16b);11,2518;3,6493;4,4043;3,6377;3,5761;4,3727;3,5711;False
B;GRU (32u, 18w, 150e, 16b);14,3935;3,6298;4,3213;3,6172;3,5792;4,2114;3,5728;False
B;GRU (32u, 18w, 30e, 32b);6,4720;3,8049;4,3978;3,7923;3,3140;4,0772;3,3076;False
B;GRU (32u, 18w, 50e, 32b);8,9324;3,6863;4,3497;3,6744;3,3099;4,0415;3,3032;False
B;GRU (32u, 18w, 100e, 32b);10,2818;3,7103;4,3327;3,6984;3,2872;4,0058;3,2806;False
B;GRU (32u, 18w, 150e, 32b);12,7484;3,6348;4,3997;3,6231;3,4057;4,1598;3,3991;False
B;GRU (32u, 18w, 30e, 64b);6,3728;3,7942;4,3766;3,7818;3,3315;4,0730;3,3250;False
B;GRU (32u, 18w, 50e, 64b);7,2478;3,6882;4,3173;3,6764;3,3427;4,0350;3,3361;False
B;GRU (32u, 18w, 100e, 64b);10,0297;3,7938;4,3898;3,7813;3,2840;4,0475;3,2778;False
B;GRU (32u, 18w, 150e, 64b);11,8028;3,7374;4,3513;3,7251;3,2795;4,0104;3,2731;False
B;GRU (32u, 24w, 30e, 16b);7,0516;3,7012;4,3248;3,6893;3,3114;4,0177;3,3048;False
B;GRU (32u, 24w, 50e, 16b);8,4503;3,7130;4,3368;3,7009;3,2862;4,0045;3,2798;False
B;GRU (32u, 24w, 100e, 16b);11,5332;3,6814;4,3098;3,6697;3,3504;4,0368;3,3439;False
B;GRU (32u, 24w, 150e, 16b);14,6572;2,3695;3,1225;2,3577;4,6309;5,1786;4,6298;False
B;GRU (32u, 24w, 30e, 32b);6,4847;3,7608;4,3498;3,7487;3,3334;4,0514;3,3269;False
B;GRU (32u, 24w, 50e, 32b);7,4383;3,7055;4,3279;3,6935;3,3089;4,0177;3,3024;False
B;GRU (32u, 24w, 100e, 32b);10,0871;3,7212;4,3393;3,7091;3,2788;4,0057;3,2724;False
B;GRU (32u, 24w, 150e, 32b);13,2245;3,6536;4,3112;3,6418;3,3251;4,0404;3,3183;False
B;GRU (32u, 24w, 30e, 64b);6,3786;3,6510;4,3283;3,6392;3,3671;4,0681;3,3605;False
B;GRU (32u, 24w, 50e, 64b);7,2416;3,7075;4,3183;3,6956;3,3453;4,0361;3,3388;False
B;GRU (32u, 24w, 100e, 64b);9,4135;3,7114;4,3282;3,6995;3,3153;4,0225;3,3088;False
B;GRU (32u, 24w, 150e, 64b);11,6061;3,7164;4,3359;3,7044;3,2821;4,0048;3,2756;False
B;GRU (48u, 3w, 30e, 16b);6,3293;3,6784;4,3025;3,6667;3,3472;4,0428;3,3405;False
B;GRU (48u, 3w, 50e, 16b);7,3984;3,6502;4,2903;3,6385;3,3400;4,0415;3,3333;False
B;GRU (48u, 3w, 100e, 16b);9,6558;3,6071;4,2755;3,5954;3,3366;4,0570;3,3298;False
B;GRU (48u, 3w, 150e, 16b);12,0710;3,5760;4,2628;3,5642;3,3587;4,0849;3,3519;False
B;GRU (48u, 3w, 30e, 32b);10,1723;3,6607;4,2955;3,6491;3,3707;4,0492;3,3640;False
B;GRU (48u, 3w, 50e, 32b);7,0443;3,6525;4,2901;3,6408;3,3438;4,0408;3,3371;False
B;GRU (48u, 3w, 100e, 32b);9,7834;3,6333;4,2820;3,6216;3,3407;4,0435;3,3340;False
B;GRU (48u, 3w, 150e, 32b);11,3702;3,5972;4,2789;3,5855;3,3449;4,0753;3,3380;False
