series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;LSTM (64u, 6w, 50e, 64b);9,4440;0,5221;0,5802;0,5196;0,5872;1,2273;0,5780;False
C;LSTM (64u, 6w, 100e, 16b);13,5301;0,4873;0,5500;0,4851;0,5672;1,2239;0,5580;False
C;LSTM (64u, 6w, 100e, 32b);12,5451;0,5481;0,6103;0,5455;0,6033;1,2307;0,5938;False
C;LSTM (64u, 6w, 100e, 64b);11,8339;0,5015;0,5588;0,4992;0,5789;1,2262;0,5697;False
C;LSTM (64u, 6w, 200e, 16b);20,8807;0,5068;0,5704;0,5044;0,5772;1,2257;0,5679;False
C;LSTM (64u, 6w, 200e, 32b);17,7535;0,5550;0,6163;0,5523;0,6086;1,2319;0,5992;False
C;LSTM (64u, 6w, 200e, 64b);16,9714;0,4748;0,5384;0,4727;0,5599;1,2227;0,5508;False
C;LSTM (64u, 12w, 50e, 16b);11,3221;0,4613;0,5158;0,4593;0,5449;1,2039;0,5360;False
C;LSTM (64u, 12w, 50e, 32b);10,2317;0,4207;0,4851;0,4190;0,5415;1,2196;0,5326;False
C;LSTM (64u, 12w, 50e, 64b);10,2070;0,4839;0,5451;0,4817;0,5648;1,2206;0,5557;False
C;LSTM (64u, 12w, 100e, 16b);26,0186;0,5231;0,5815;0,5206;0,5769;1,2133;0,5677;False
C;LSTM (64u, 12w, 100e, 32b);18,1188;0,5752;0,6300;0,5723;0,6169;1,2220;0,6074;False
C;LSTM (64u, 12w, 100e, 64b);14,1392;0,5005;0,5547;0,4982;0,5672;1,2076;0,5581;False
C;LSTM (64u, 12w, 200e, 16b);24,2243;0,5517;0,6128;0,5490;0,5962;1,2191;0,5869;False
C;LSTM (64u, 12w, 200e, 32b);23,1053;0,4239;0,4832;0,4222;0,5328;1,2095;0,5239;False
C;LSTM (64u, 12w, 200e, 64b);19,1815;0,4677;0,5248;0,4656;0,5419;1,1991;0,5330;False
C;LSTM (64u, 18w, 50e, 16b);14,9498;0,5033;0,5606;0,5010;0,5671;1,2104;0,5580;False
C;LSTM (64u, 18w, 50e, 32b);14,0525;0,5366;0,5960;0,5340;0,5939;1,2280;0,5846;False
C;LSTM (64u, 18w, 50e, 64b);10,3687;0,5026;0,5644;0,5004;0,5738;1,2226;0,5647;False
C;LSTM (64u, 18w, 100e, 16b);16,8678;0,4900;0,5470;0,4877;0,5546;1,1868;0,5455;False
C;LSTM (64u, 18w, 100e, 32b);13,8588;0,5129;0,5709;0,5105;0,5733;1,2094;0,5641;False
C;LSTM (64u, 18w, 100e, 64b);13,3633;0,4591;0,5141;0,4571;0,5484;1,2127;0,5394;False
C;LSTM (64u, 18w, 200e, 16b);26,9180;0,6439;0,7555;0,6396;0,6735;1,2120;0,6628;False
C;LSTM (64u, 18w, 200e, 32b);20,8471;0,5755;0,6297;0,5725;0,6025;1,1842;0,5931;False
C;LSTM (64u, 18w, 200e, 64b);20,0730;0,6168;0,6710;0,6135;0,6470;1,2165;0,6372;False
C;LSTM (64u, 24w, 50e, 16b);12,8113;0,4550;0,5131;0,4530;0,5440;1,2120;0,5351;False
C;LSTM (64u, 24w, 50e, 32b);11,8259;0,4216;0,4860;0,4199;0,5438;1,2203;0,5349;False
C;LSTM (64u, 24w, 50e, 64b);11,3362;0,4456;0,5084;0,4437;0,5507;1,2198;0,5417;False
C;LSTM (64u, 24w, 100e, 16b);19,6040;0,5898;0,7000;0,5861;0,6379;1,1887;0,6279;False
C;LSTM (64u, 24w, 100e, 32b);14,9858;0,5085;0,5674;0,5062;0,5709;1,2114;0,5617;False
C;LSTM (64u, 24w, 100e, 64b);13,5305;0,5327;0,5880;0,5301;0,5908;1,2195;0,5815;False
C;LSTM (64u, 24w, 200e, 16b);29,3914;0,5482;0,6971;0,5449;0,6416;1,2519;0,6313;False
C;LSTM (64u, 24w, 200e, 32b);22,5415;0,3914;0,4951;0,3895;0,5959;1,1816;0,5866;False
C;LSTM (64u, 24w, 200e, 64b);20,0312;0,6066;0,7266;0,6029;0,6516;1,1831;0,6415;False
C;LSTM (128u, 3w, 50e, 16b);24,4351;0,5455;0,6109;0,5428;0,5974;1,2286;0,5880;False
C;LSTM (128u, 3w, 50e, 32b);12,9309;0,4529;0,5201;0,4510;0,5499;1,2200;0,5409;False
C;LSTM (128u, 3w, 50e, 64b);10,9702;0,4689;0,5358;0,4668;0,5556;1,2201;0,5466;False
C;LSTM (128u, 3w, 100e, 16b);14,0024;0,6042;0,6692;0,6010;0,6390;1,2376;0,6293;False
C;LSTM (128u, 3w, 100e, 32b);12,9885;0,4860;0,5519;0,4839;0,5644;1,2222;0,5553;False
C;LSTM (128u, 3w, 100e, 64b);12,7336;0,4912;0,5573;0,4890;0,5665;1,2227;0,5574;False
C;LSTM (128u, 3w, 200e, 16b);20,5230;0,5715;0,6377;0,5687;0,6158;1,2322;0,6063;False
C;LSTM (128u, 3w, 200e, 32b);19,8634;0,5797;0,6450;0,5767;0,6219;1,2335;0,6123;False
C;LSTM (128u, 3w, 200e, 64b);17,7108;0,4631;0,5301;0,4611;0,5530;1,2204;0,5440;False
C;LSTM (128u, 6w, 50e, 16b);12,2876;0,4485;0,5117;0,4466;0,5502;1,2215;0,5412;False
C;LSTM (128u, 6w, 50e, 32b);12,4104;0,4649;0,5237;0,4629;0,5598;1,2227;0,5508;False
C;LSTM (128u, 6w, 50e, 64b);10,4150;0,4797;0,5364;0,4776;0,5670;1,2242;0,5579;False
C;LSTM (128u, 6w, 100e, 16b);15,8044;0,4410;0,5057;0,4392;0,5472;1,2212;0,5382;False
C;LSTM (128u, 6w, 100e, 32b);13,8098;0,5613;0,6225;0,5585;0,6126;1,2326;0,6031;False
C;LSTM (128u, 6w, 100e, 64b);12,4082;0,4823;0,5427;0,4802;0,5663;1,2238;0,5572;False
C;LSTM (128u, 6w, 200e, 16b);22,2722;0,4984;0,5612;0,4961;0,5729;1,2244;0,5637;False
C;LSTM (128u, 6w, 200e, 32b);19,4005;0,5081;0,5691;0,5058;0,5787;1,2259;0,5695;False
C;LSTM (128u, 6w, 200e, 64b);17,8842;0,5172;0,5792;0,5148;0,5831;1,2267;0,5739;False
C;LSTM (128u, 12w, 50e, 16b);12,0655;0,4933;0,5508;0,4911;0,5632;1,2171;0,5541;False
C;LSTM (128u, 12w, 50e, 32b);11,0716;0,3303;0,3883;0,3291;0,5242;1,2177;0,5153;False
C;LSTM (128u, 12w, 50e, 64b);10,8825;0,4079;0,4632;0,4063;0,5356;1,2151;0,5267;False
C;LSTM (128u, 12w, 100e, 16b);16,8358;0,5060;0,5669;0,5037;0,5663;1,2103;0,5572;False
C;LSTM (128u, 12w, 100e, 32b);14,7548;0,5718;0,6270;0,5689;0,6139;1,2199;0,6044;False
C;LSTM (128u, 12w, 100e, 64b);14,2721;0,4265;0,4812;0,4247;0,5361;1,2080;0,5272;False
C;LSTM (128u, 12w, 200e, 16b);26,6183;0,5147;0,5770;0,5122;0,5609;1,2030;0,5518;False
C;LSTM (128u, 12w, 200e, 32b);22,5361;0,6286;0,6841;0,6252;0,6725;1,2501;0,6625;False
C;LSTM (128u, 12w, 200e, 64b);20,2807;0,5643;0,6235;0,5614;0,5929;1,2028;0,5836;False
C;LSTM (128u, 18w, 50e, 16b);13,2779;0,4862;0,5443;0,4840;0,5563;1,2066;0,5472;False
