series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;GRU (64u, 12w, 200e, 32b);19,7871;0,3132;0,3825;0,3121;0,5243;1,2254;0,5154;False
C;GRU (64u, 12w, 200e, 64b);19,5372;0,5821;0,6432;0,5792;0,6276;1,2361;0,6180;False
C;GRU (64u, 18w, 50e, 16b);11,8857;0,5149;0,5762;0,5125;0,5824;1,2267;0,5732;False
C;GRU (64u, 18w, 50e, 32b);12,0886;0,4974;0,5599;0,4952;0,5727;1,2253;0,5636;False
C;GRU (64u, 18w, 50e, 64b);11,5306;0,5088;0,5729;0,5065;0,5762;1,2247;0,5670;False
C;GRU (64u, 18w, 100e, 16b);17,4537;0,5036;0,5599;0,5013;0,5715;1,2087;0,5623;False
C;GRU (64u, 18w, 100e, 32b);15,5827;0,5163;0,5775;0,5139;0,5842;1,2275;0,5749;False
C;GRU (64u, 18w, 100e, 64b);13,7018;0,5182;0,5796;0,5158;0,5855;1,2281;0,5763;False
C;GRU (64u, 18w, 200e, 16b);25,7805;0,5848;0,6391;0,5818;0,6126;1,2014;0,6031;False
C;GRU (64u, 18w, 200e, 32b);20,7272;0,4284;0,4904;0,4266;0,5418;1,2185;0,5328;False
C;GRU (64u, 18w, 200e, 64b);18,7421;0,5495;0,6104;0,5468;0,6047;1,2308;0,5953;False
C;GRU (64u, 24w, 50e, 16b);11,9866;0,5332;0,5956;0,5307;0,5928;1,2281;0,5835;False
C;GRU (64u, 24w, 50e, 32b);10,8915;0,4574;0,5223;0,4554;0,5540;1,2220;0,5450;False
C;GRU (64u, 24w, 50e, 64b);10,8147;0,4817;0,5479;0,4796;0,5623;1,2220;0,5532;False
C;GRU (64u, 24w, 100e, 16b);17,6665;0,4903;0,5712;0,4880;0,5671;1,1918;0,5578;False
C;GRU (64u, 24w, 100e, 32b);14,2821;0,5093;0,5717;0,5070;0,5773;1,2249;0,5681;False
C;GRU (64u, 24w, 100e, 64b);13,6879;0,4696;0,5324;0,4676;0,5598;1,2235;0,5508;False
C;GRU (64u, 24w, 200e, 16b);26,6968;0,5443;0,6683;0,5410;0,5867;1,1793;0,5769;False
C;GRU (64u, 24w, 200e, 32b);21,8750;0,5609;0,6228;0,5581;0,6121;1,2324;0,6026;False
C;GRU (64u, 24w, 200e, 64b);19,4594;0,3996;0,4651;0,3980;0,5365;1,2207;0,5276;False
C;GRU (128u, 3w, 50e, 16b);9,8766;0,4525;0,5203;0,4506;0,5482;1,2197;0,5393;False
C;GRU (128u, 3w, 50e, 32b);19,6993;0,5306;0,5974;0,5281;0,5873;1,2262;0,5780;False
C;GRU (128u, 3w, 50e, 64b);10,2471;0,4869;0,5547;0,4847;0,5628;1,2211;0,5537;False
C;GRU (128u, 3w, 100e, 16b);15,4087;0,5746;0,6409;0,5717;0,6177;1,2325;0,6082;False
C;GRU (128u, 3w, 100e, 32b);12,8113;0,4888;0,5559;0,4866;0,5646;1,2221;0,5555;False
C;GRU (128u, 3w, 100e, 64b);12,3962;0,5169;0,5830;0,5145;0,5797;1,2248;0,5705;False
C;GRU (128u, 3w, 200e, 16b);19,9799;0,5109;0,5792;0,5086;0,5747;1,2237;0,5655;False
C;GRU (128u, 3w, 200e, 32b);17,2314;0,3927;0,4634;0,3912;0,5299;1,2191;0,5210;False
