series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;RNN (64u, 6w, 200e, 16b);17,2327;0,5192;0,5823;0,5168;0,5821;1,2258;0,5729;False
C;RNN (64u, 6w, 200e, 32b);22,8884;0,6202;0,6808;0,6169;0,6543;1,2422;0,6444;False
C;RNN (64u, 6w, 200e, 64b);15,8797;0,4865;0,5496;0,4843;0,5644;1,2229;0,5553;False
C;RNN (64u, 12w, 50e, 16b);9,4682;0,5404;0,5976;0,5378;0,5935;1,2104;0,5842;False
C;RNN (64u, 12w, 50e, 32b);8,7942;0,4374;0,4920;0,4355;0,5331;1,2036;0,5243;False
C;RNN (64u, 12w, 50e, 64b);8,5947;0,4642;0,5192;0,4621;0,5550;1,2089;0,5460;False
C;RNN (64u, 12w, 100e, 16b);12,4594;0,3502;0,4031;0,3489;0,5258;1,2129;0,5169;False
C;RNN (64u, 12w, 100e, 32b);11,7685;0,6308;0,6865;0,6274;0,6529;1,2272;0,6430;False
C;RNN (64u, 12w, 100e, 64b);10,9510;0,4858;0,5414;0,4836;0,5614;1,2072;0,5523;False
C;RNN (64u, 12w, 200e, 16b);18,5556;0,5565;0,6186;0,5537;0,6227;1,2288;0,6131;False
C;RNN (64u, 12w, 200e, 32b);17,2355;0,4518;0,5064;0,4498;0,5553;1,2128;0,5463;False
C;RNN (64u, 12w, 200e, 64b);15,4491;0,4026;0,4562;0,4010;0,5304;1,2115;0,5215;False
C;RNN (64u, 18w, 50e, 16b);9,3451;0,3260;0,3685;0,3248;0,4946;1,1982;0,4860;False
C;RNN (64u, 18w, 50e, 32b);9,1246;0,6111;0,6614;0,6079;0,6491;1,2245;0,6392;False
C;RNN (64u, 18w, 50e, 64b);8,9745;0,5437;0,5965;0,5410;0,5933;1,2029;0,5839;False
C;RNN (64u, 18w, 100e, 16b);12,7318;0,5723;0,6224;0,5694;0,6190;1,2112;0,6094;False
C;RNN (64u, 18w, 100e, 32b);11,6613;0,4737;0,5217;0,4715;0,5549;1,2029;0,5458;False
C;RNN (64u, 18w, 100e, 64b);11,2441;0,5840;0,6340;0,5810;0,6264;1,2134;0,6167;False
C;RNN (64u, 18w, 200e, 16b);19,6162;0,5328;0,5841;0,5303;0,5898;1,2102;0,5804;False
C;RNN (64u, 18w, 200e, 32b);17,4679;0,4362;0,4832;0,4343;0,5365;1,1829;0,5275;False
C;RNN (64u, 18w, 200e, 64b);16,0646;0,5640;0,6160;0,5612;0,6163;1,2216;0,6067;False
C;RNN (64u, 24w, 50e, 16b);9,5011;0,5000;0,5856;0,4973;0,5967;1,1921;0,5872;False
C;RNN (64u, 24w, 50e, 32b);12,0403;0,5356;0,6281;0,5327;0,6160;1,1919;0,6062;False
C;RNN (64u, 24w, 50e, 64b);8,6141;0,4862;0,5629;0,4838;0,5957;1,1971;0,5863;False
C;RNN (64u, 24w, 100e, 16b);12,7196;0,5555;0,6661;0,5522;0,6441;1,2006;0,6341;False
C;RNN (64u, 24w, 100e, 32b);11,9975;0,6908;0,7912;0,6863;0,7189;1,2168;0,7082;False
C;RNN (64u, 24w, 100e, 64b);11,8570;0,6087;0,7198;0,6050;0,6723;1,2098;0,6621;False
C;RNN (64u, 24w, 200e, 16b);20,9908;0,5829;0,6718;0,5796;0,6502;1,2025;0,6402;False
C;RNN (64u, 24w, 200e, 32b);18,5537;0,6282;0,7306;0,6244;0,6685;1,2165;0,6582;False
C;RNN (64u, 24w, 200e, 64b);16,7285;0,6140;0,7144;0,6103;0,6790;1,2079;0,6687;False
C;RNN (128u, 3w, 50e, 16b);8,9492;0,5227;0,5903;0,5202;0,5823;1,2252;0,5730;False
C;RNN (128u, 3w, 50e, 32b);8,7548;0,5915;0,6557;0,5885;0,6307;1,2357;0,6211;False
C;RNN (128u, 3w, 50e, 64b);8,7898;0,5494;0,6155;0,5467;0,6000;1,2290;0,5906;False
C;RNN (128u, 3w, 100e, 16b);11,9379;0,5023;0,5686;0,5000;0,5714;1,2235;0,5622;False
C;RNN (128u, 3w, 100e, 32b);11,0069;0,6620;0,7275;0,6584;0,6795;1,2494;0,6694;False
C;RNN (128u, 3w, 100e, 64b);10,4846;0,5125;0,5790;0,5101;0,5770;1,2244;0,5678;False
C;RNN (128u, 3w, 200e, 16b);17,2967;0,5503;0,6187;0,5476;0,5997;1,2288;0,5903;False
C;RNN (128u, 3w, 200e, 32b);17,1674;0,4223;0,4891;0,4206;0,5418;1,2200;0,5328;False
C;RNN (128u, 3w, 200e, 64b);15,8632;0,5218;0,5878;0,5194;0,5826;1,2256;0,5734;False
C;RNN (128u, 6w, 50e, 16b);10,8601;0,5862;0,6501;0,5832;0,6291;1,2365;0,6195;False
C;RNN (128u, 6w, 50e, 32b);8,9134;0,5379;0,6026;0,5353;0,5927;1,2275;0,5833;False
C;RNN (128u, 6w, 50e, 64b);9,7947;0,4696;0,5325;0,4676;0,5573;1,2218;0,5482;False
C;RNN (128u, 6w, 100e, 16b);12,6714;0,6236;0,6859;0,6203;0,6549;1,2419;0,6451;False
C;RNN (128u, 6w, 100e, 32b);11,7664;0,5344;0,5970;0,5318;0,5930;1,2278;0,5837;False
C;RNN (128u, 6w, 100e, 64b);11,4342;0,5337;0,5960;0,5312;0,5919;1,2277;0,5826;False
C;RNN (128u, 6w, 200e, 16b);18,1299;0,4670;0,5299;0,4650;0,5564;1,2218;0,5474;False
C;RNN (128u, 6w, 200e, 32b);16,1423;0,5993;0,6617;0,5962;0,6374;1,2371;0,6277;False
C;RNN (128u, 6w, 200e, 64b);22,9091;0,4947;0,5579;0,4925;0,5683;1,2234;0,5591;False
C;RNN (128u, 12w, 50e, 16b);9,8375;0,4459;0,4995;0,4440;0,5508;1,2105;0,5418;False
C;RNN (128u, 12w, 50e, 32b);9,3262;0,5964;0,6539;0,5933;0,6305;1,2248;0,6208;False
C;RNN (128u, 12w, 50e, 64b);9,9419;0,4188;0,4729;0,4171;0,5325;1,2094;0,5236;False
C;RNN (128u, 12w, 100e, 16b);13,4214;0,4831;0,5376;0,4809;0,5752;1,2183;0,5660;False
C;RNN (128u, 12w, 100e, 32b);10,8980;0,6004;0,6538;0,5972;0,6330;1,2212;0,6233;False
C;RNN (128u, 12w, 100e, 64b);10,5898;0,3477;0,4037;0,3464;0,5293;1,2174;0,5204;False
C;RNN (128u, 12w, 200e, 16b);16,8182;0,4551;0,5130;0,4531;0,5611;1,2212;0,5520;False
C;RNN (128u, 12w, 200e, 32b);18,6736;0,5415;0,5975;0,5388;0,6041;1,2207;0,5947;False
C;RNN (128u, 12w, 200e, 64b);16,6522;0,4201;0,4711;0,4184;0,5338;1,2065;0,5249;False
C;RNN (128u, 18w, 50e, 16b);10,0530;0,5806;0,6296;0,5777;0,6254;1,2146;0,6158;False
C;RNN (128u, 18w, 50e, 32b);9,8520;0,4241;0,4700;0,4223;0,5214;1,1961;0,5126;False
C;RNN (128u, 18w, 50e, 64b);9,4565;0,4712;0,5199;0,4691;0,5423;1,1958;0,5333;False
C;RNN (128u, 18w, 100e, 16b);13,7149;0,5251;0,5748;0,5226;0,5849;1,2101;0,5756;False
C;RNN (128u, 18w, 100e, 32b);12,3267;0,5477;0,5984;0,5450;0,6027;1,2120;0,5933;False
C;RNN (128u, 18w, 100e, 64b);11,6139;0,4992;0,5500;0,4969;0,5649;1,2004;0,5557;False
C;RNN (128u, 18w, 200e, 16b);19,7391;0,5064;0,5555;0,5040;0,5712;1,2063;0,5620;False
